,Codigo,hora,lat,lon,temp_C,precip_mm
0,1001,0,6.162,-75.644,15.873728942871116,12.101267821048486
1,1001,1,6.162,-75.644,15.32143503824872,0.5338414882620176
2,1001,2,6.162,-75.644,14.838349405924502,1.0001580541332562
3,1001,3,6.162,-75.644,14.436152140299502,1.3811805595954258
4,1001,4,6.162,-75.644,14.062603759765647,1.7805119355519612
5,1001,5,6.162,-75.644,13.81655680338544,2.0666622867186866
6,1001,6,6.162,-75.644,13.563478088378929,2.2706331064303718
7,1001,7,6.162,-75.644,13.304490152994815,2.4276138593512777
8,1001,8,6.162,-75.644,13.069905598958355,2.5383032609649803
9,1001,9,6.162,-75.644,12.840789794921898,2.651250113996776
10,1001,10,6.162,-75.644,12.448135884602888,2.7654426296110777
11,1001,11,6.162,-75.644,12.211803181966168,2.8784992297011294
12,1001,12,6.162,-75.644,12.766074625651065,3.003350198221355
13,1001,13,6.162,-75.644,14.879726664225283,3.094076663200577
14,1001,14,6.162,-75.644,16.518996683756534,3.2379466618622863
15,1001,15,6.162,-75.644,17.98047536214195,3.5126762820431403
16,1001,16,6.162,-75.644,19.271729532877625,3.8631225723854357
17,1001,17,6.162,-75.644,20.210491434733097,4.261065881742236
18,1001,18,6.162,-75.644,20.494094848632834,5.084958046851185
19,1001,19,6.162,-75.644,19.779987589518253,6.947243730676078
20,1001,20,6.162,-75.644,19.26533355712893,8.329698920275419
21,1001,21,6.162,-75.644,18.28579050699872,10.127509456573472
22,1001,22,6.162,-75.644,17.38897857666018,11.074500244074532
23,1001,23,6.162,-75.644,16.566206359863305,11.6587654816455
24,1002,0,6.352,-75.538,15.015721130371116,13.179288353974409
25,1002,1,6.352,-75.538,14.58256785074872,0.40520398567120236
26,1002,2,6.352,-75.538,14.196812947591168,0.8614610259731611
27,1002,3,6.352,-75.538,13.884589640299502,1.2037473420302074
28,1002,4,6.352,-75.538,13.58773396809898,1.5031588574250538
29,1002,5,6.352,-75.538,13.39565836588544,1.7586395144462585
30,1002,6,6.352,-75.538,13.209246317545595,1.9438046962022781
31,1002,7,6.352,-75.538,12.891859944661482,2.083135147865415
32,1002,8,6.352,-75.538,12.702327473958356,2.173115288180938
33,1002,9,6.352,-75.538,12.554136149088565,2.268677453153245
34,1002,10,6.352,-75.538,12.304255676269554,2.398413121656162
35,1002,11,6.352,-75.538,12.08660786946617,2.4829104045547723
36,1002,12,6.352,-75.538,12.662559000651065,2.60173285996134
37,1002,13,6.352,-75.538,15.011757914225283,2.727692623878042
38,1002,14,6.352,-75.538,16.3608586629232,2.9017243112649047
39,1002,15,6.352,-75.538,17.759446716308616,3.1250613166042975
40,1002,16,6.352,-75.538,19.01443786621096,3.4440547326039925
41,1002,17,6.352,-75.538,19.76296539306643,3.8830765697292455
42,1002,18,6.352,-75.538,19.77059224446617,5.1237348419205615
43,1002,19,6.352,-75.538,19.300300089518252,6.62933093354295
44,1002,20,6.352,-75.538,18.58447418212893,8.473004380887398
45,1002,21,6.352,-75.538,17.396076965332053,10.832505247690824
46,1002,22,6.352,-75.538,16.49086659749351,12.222354075524676
47,1002,23,6.352,-75.538,15.654096984863305,13.160688287749524
48,1003,0,6.368,-75.454,14.99749196370445,12.399444526885736
49,1003,1,6.368,-75.454,14.612320454915388,0.3086077359815438
50,1003,2,6.368,-75.454,14.255406697591168,0.696986789504687
51,1003,3,6.368,-75.454,14.012324015299502,1.0462120175361633
52,1003,4,6.368,-75.454,13.705963134765648,1.3886090368032455
53,1003,5,6.368,-75.454,13.438171386718773,1.704758529861768
54,1003,6,6.368,-75.454,13.23945465087893,1.9382068266471226
55,1003,7,6.368,-75.454,12.80943806966148,2.0714348802723492
56,1003,8,6.368,-75.454,12.629736328125023,2.1569678932059113
57,1003,9,6.368,-75.454,12.409735107421898,2.261609832399003
58,1003,10,6.368,-75.454,12.339346822102888,2.423952718531671
59,1003,11,6.368,-75.454,12.140123494466168,2.5178230801738977
60,1003,12,6.368,-75.454,13.038926188151065,2.6409318545978757
61,1003,13,6.368,-75.454,15.408307393391949,2.7858357130930025
62,1003,14,6.368,-75.454,16.5755071004232,2.992792509548418
63,1003,15,6.368,-75.454,17.997207132975284,3.233787887607894
64,1003,16,6.368,-75.454,19.242888387044292,3.5748322902949305
65,1003,17,6.368,-75.454,20.009775288899764,4.065682352873878
66,1003,18,6.368,-75.454,19.815449015299503,5.650878817019489
67,1003,19,6.368,-75.454,19.41813863118492,7.197705924959881
68,1003,20,6.368,-75.454,18.690659077962263,9.01126859587992
69,1003,21,6.368,-75.454,17.469709777832055,10.963233631549821
70,1003,22,6.368,-75.454,16.538848368326846,11.92916975539274
71,1003,23,6.368,-75.454,15.629617818196637,12.558965987696881
72,1004,0,6.293497412529733,-75.6508059291473,15.530760192871117,12.627990589990999
73,1004,1,6.293497412529733,-75.6508059291473,15.003791809082054,0.5036315570274988
74,1004,2,6.293497412529733,-75.6508059291473,14.559182739257835,1.0355378811558087
75,1004,3,6.293497412529733,-75.6508059291473,14.130943806966169,1.3995467374722164
76,1004,4,6.293497412529733,-75.6508059291473,13.70882771809898,1.7203491181135178
77,1004,5,6.293497412529733,-75.6508059291473,13.45561930338544,1.9956910361846287
78,1004,6,6.293497412529733,-75.6508059291473,13.197071838378928,2.194933220744133
79,1004,7,6.293497412529733,-75.6508059291473,12.900649007161482,2.354249730682175
80,1004,8,6.293497412529733,-75.6508059291473,12.624983723958357,2.4715926249452735
81,1004,9,6.293497412529733,-75.6508059291473,12.399383544921898,2.581258118105841
